student_id,study_hours,attendance,assignments,result
1,4.5,86,4,1
2,9.1,93,9,1
3,7.4,86,1,1
4,6.3,58,8,1
5,2.7,84,7,0
6,2.7,91,2,0
7,2.0,77,8,0
8,8.4,93,1,1
9,6.3,99,9,1
10,7.2,69,9,1
11,1.7,97,2,0
12,9.3,83,7,1
13,8.2,90,10,1
14,3.2,67,3,0
15,3.0,86,7,0
16,3.0,61,10,1
17,3.9,76,9,1
18,5.7,82,4,1
19,5.0,56,1,0
20,3.8,96,2,0
21,6.4,99,1,1
22,2.6,60,5,0
23,3.8,82,5,0
24,4.4,82,7,1
25,5.1,98,9,1
26,7.8,98,9,1
27,3.1,74,3,0
28,5.6,84,3,1
29,6.2,65,3,0
30,1.9,82,4,0
31,6.4,79,8,1
32,2.9,93,6,1
33,2.0,87,8,0
34,9.1,55,1,1
35,9.2,81,8,1
36,8.0,67,4,1
37,3.9,95,1,0
38,2.3,57,8,0
39,7.0,93,4,1
40,5.0,60,6,0
41,2.5,62,8,0
42,5.5,81,4,1
43,1.8,63,3,0
44,8.8,91,9,1
45,3.6,87,3,0
46,6.8,96,9,1
47,4.0,98,2,0
48,5.7,78,2,1
49,5.9,69,2,0
50,3.0,86,6,0
51,9.3,86,3,1
52,7.7,78,9,1
53,9.0,95,4,1
54,8.7,66,1,1
55,6.3,93,4,1
56,8.9,56,1,1
57,2.2,57,5,0
58,3.1,91,4,0
59,1.9,71,8,0
60,4.1,56,8,1
61,4.6,56,7,0
62,3.7,82,3,0
63,8.1,77,1,1
64,4.4,91,1,0
65,3.7,86,3,0
66,5.8,87,6,1
67,2.6,55,7,0
68,7.9,73,6,1
69,2.1,56,6,0
70,9.4,98,6,1
71,7.7,80,3,1
72,3.1,86,6,1
73,1.5,60,8,0
74,8.0,86,2,1
75,7.2,58,5,1
76,7.3,65,1,0
77,7.7,71,1,1
78,2.1,92,5,0
79,4.4,78,3,0
80,2.4,59,4,0
81,8.4,88,3,1
82,6.5,60,1,0
83,4.1,76,1,0
84,2.0,65,5,0
85,4.0,70,6,0
86,4.1,87,3,0
87,7.3,63,9,1
88,6.6,60,5,1
89,8.6,70,8,1
90,5.3,83,1,0
91,2.5,57,5,0
92,7.2,74,3,1
93,7.6,90,1,1
94,6.0,73,4,1
95,7.7,80,5,1
96,5.5,57,7,1
97,5.7,73,1,0
98,4.9,74,3,0
99,1.7,86,2,0
100,2.4,61,9,0
